;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
599;db8;5;soft;1,0;1,0;10,00491319999336;10,457429086646613;0,0002859349972859491;0,0002576414447452407;15,6699
1199;sym8;5;soft;1,0;1,0;10,00491319999336;10,456182982927146;0,0002859349972859491;0,0002577153793768957;18,59
598;db8;5;soft;1,0;0,8;10,00491319999336;10,449924102099686;0,0002859349972859491;0,0002580870563785235;15,6435
1198;sym8;5;soft;1,0;0,8;10,00491319999336;10,449061333378246;0,0002859349972859491;0,0002581383330048993;18,6119
398;db5;5;soft;1,0;0,8;10,00491319999336;10,445054433254754;0,0002859349972859491;0,00025837660723094206;15,843
399;db5;5;soft;1,0;1,0;10,00491319999336;10,44390133255451;0,0002859349972859491;0,0002584452182345558;16,9926
594;db8;5;soft;0,75;1,0;10,00491319999336;10,443656053617815;0,0002859349972859491;0,0002584598150026674;16,1455
998;sym5;5;soft;1,0;0,8;10,00491319999336;10,443032976581733;0,0002859349972859491;0,0002584968985795664;14,7311
1194;sym8;5;soft;0,75;1,0;10,00491319999336;10,442856980950808;0,0002859349972859491;0,0002585073742472256;19,2113
999;sym5;5;soft;1,0;1,0;10,00491319999336;10,441102723373106;0,0002859349972859491;0,0002586118149299485;14,6982
394;db5;5;soft;0,75;1,0;10,00491319999336;10,440732464128743;0,0002859349972859491;0,00025863386390847154;15,7535
994;sym5;5;soft;0,75;1,0;10,00491319999336;10,438866713492082;0,0002859349972859491;0,00025874499816951963;16,0325
793;sym2;5;soft;0,75;0,8;10,00491319999336;10,424198206060844;0,0002859349972859491;0,00025962039951312664;12,7785
197;db2;5;soft;1,0;0,6;10,00491319999336;10,424198206060844;0,0002859349972859491;0,00025962039951312664;13,4661
193;db2;5;soft;0,75;0,8;10,00491319999336;10,424198206060844;0,0002859349972859491;0,00025962039951312664;12,9736
797;sym2;5;soft;1,0;0,6;10,00491319999336;10,424198206060844;0,0002859349972859491;0,00025962039951312664;13,7269
794;sym2;5;soft;0,75;1,0;10,00491319999336;10,42093693555369;0,0002859349972859491;0,0002598154308507219;12,5425
194;db2;5;soft;0,75;1,0;10,00491319999336;10,42093693555369;0,0002859349972859491;0,0002598154308507219;12,85
397;db5;5;soft;1,0;0,6;10,00491319999336;10,41449896472895;0,0002859349972859491;0,00026020086622641735;16,0033
393;db5;5;soft;0,75;0,8;10,00491319999336;10,41449896472895;0,0002859349972859491;0,00026020086622641735;16,8997
798;sym2;5;soft;1,0;0,8;10,00491319999336;10,41396772218475;0,0002859349972859491;0,0002602326967540042;13,5902
198;db2;5;soft;1,0;0,8;10,00491319999336;10,41396772218475;0,0002859349972859491;0,0002602326967540042;12,9914
997;sym5;5;soft;1,0;0,6;10,00491319999336;10,413134571986319;0,0002859349972859491;0,0002602826245633575;14,9137
993;sym5;5;soft;0,75;0,8;10,00491319999336;10,413134571986319;0,0002859349972859491;0,0002602826245633575;15,5728
597;db8;5;soft;1,0;0,6;10,00491319999336;10,41236827680509;0,0002859349972859491;0,00026032855443966886;15,333
593;db8;5;soft;0,75;0,8;10,00491319999336;10,41236827680509;0,0002859349972859491;0,00026032855443966886;16,4407
