;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
1111;sym8;3;soft;0,75;0,4;9,994538766571893;15,688840362076753;0,0014206151713714158;0,00038286554847339477;16,6773
1107;sym8;3;soft;0,5;0,6;9,994538766571893;15,688840362076753;0,0014206151713714158;0,00038286554847339477;15,3223
511;db8;3;soft;0,75;0,4;9,994538766571893;15,677716325965612;0,0014206151713714158;0,00038384747883343757;16,2677
507;db8;3;soft;0,5;0,6;9,994538766571893;15,677716325965612;0,0014206151713714158;0,00038384747883343757;16,6943
1147;sym8;4;soft;0,5;0,6;9,994538766571893;15,641170064017672;0,0014206151713714158;0,00038709121810194725;16,7814
1151;sym8;4;soft;0,75;0,4;9,994538766571893;15,641170064017672;0,0014206151713714158;0,00038709121810194725;16,9302
911;sym5;3;soft;0,75;0,4;9,994538766571893;15,619881362448787;0,0014206151713714158;0,00038899336061052356;14,625
907;sym5;3;soft;0,5;0,6;9,994538766571893;15,619881362448787;0,0014206151713714158;0,00038899336061052356;14,4874
1144;sym8;4;soft;0,25;1,0;9,994538766571893;15,597214269425336;0,0014206151713714158;0,0003910289376896496;17,9668
307;db5;3;soft;0,5;0,6;9,994538766571893;15,5946382737893;0,0014206151713714158;0,00039126094331537996;16,7562
311;db5;3;soft;0,75;0,4;9,994538766571893;15,5946382737893;0,0014206151713714158;0,00039126094331537996;15,9313
551;db8;4;soft;0,75;0,4;9,994538766571893;15,591082539923868;0,0014206151713714158;0,0003915814146826354;16,2564
547;db8;4;soft;0,5;0,6;9,994538766571893;15,591082539923868;0,0014206151713714158;0,0003915814146826354;17,4024
1108;sym8;3;soft;0,5;0,8;9,994538766571893;15,573842809367356;0,0014206151713714158;0,0003931389234688443;14,9804
1116;sym8;3;soft;1,0;0,4;9,994538766571893;15,573842809367356;0,0014206151713714158;0,0003931389234688443;16,6615
508;db8;3;soft;0,5;0,8;9,994538766571893;15,560678852166397;0,0014206151713714158;0,00039433237987104803;15,3856
516;db8;3;soft;1,0;0,4;9,994538766571893;15,560678852166397;0,0014206151713714158;0,00039433237987104803;15,8953
544;db8;4;soft;0,25;1,0;9,994538766571893;15,557153019659701;0,0014206151713714158;0,00039465264976024626;16,787
1133;sym8;4;hard;0,75;0,8;9,994538766571893;15,531468954400054;0,0014206151713714158;0,00039699353063091014;14,4808
1137;sym8;4;hard;1,0;0,6;9,994538766571893;15,531468954400054;0,0014206151713714158;0,00039699353063091014;14,4102
533;db8;4;hard;0,75;0,8;9,994538766571893;15,520187909263974;0,0014206151713714158;0,0003980260842887219;15,5131
537;db8;4;hard;1,0;0,6;9,994538766571893;15,520187909263974;0,0014206151713714158;0,0003980260842887219;15,5617
951;sym5;4;soft;0,75;0,4;9,994538766571893;15,516155281700271;0,0014206151713714158;0,0003983958417821365;15,7187
947;sym5;4;soft;0,5;0,6;9,994538766571893;15,516155281700271;0,0014206151713714158;0,0003983958417821365;15,3396
944;sym5;4;soft;0,25;1,0;9,994538766571893;15,501790278188473;0,0014206151713714158;0,00039971578324136015;15,3862
351;db5;4;soft;0,75;0,4;9,994538766571893;15,489263516843863;0,0014206151713714158;0,0004008703851684307;16,0441
347;db5;4;soft;0,5;0,6;9,994538766571893;15,489263516843863;0,0014206151713714158;0,0004008703851684307;17,0644
344;db5;4;soft;0,25;1,0;9,994538766571893;15,475263756341533;0,0014206151713714158;0,000402164701539247;16,6661
908;sym5;3;soft;0,5;0,8;9,994538766571893;15,47464939893478;0,0014206151713714158;0,0004022215961924909;14,0577
