;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
799;sym2;5;soft;1,0;1,0;5,649899842394376;7,477939793683305;0,001155948676316378;0,000758812640508404;13,068
199;db2;5;soft;1,0;1,0;5,649899842394376;7,477939793683305;0,001155948676316378;0,000758812640508404;13,9666
798;sym2;5;soft;1,0;0,8;5,649899842394376;7,265070545006189;0,001155948676316378;0,0007969323961937334;14,2677
198;db2;5;soft;1,0;0,8;5,649899842394376;7,265070545006189;0,001155948676316378;0,0007969323961937334;13,3111
399;db5;5;soft;1,0;1,0;5,649899842394376;7,210268364694265;0,001155948676316378;0,0008070523376033331;15,0052
999;sym5;5;soft;1,0;1,0;5,649899842394376;7,2073192499447885;0,001155948676316378;0,0008076005596842151;14,8274
794;sym2;5;soft;0,75;1,0;5,649899842394376;7,203305006367266;0,001155948676316378;0,0008083473810751457;12,3914
194;db2;5;soft;0,75;1,0;5,649899842394376;7,203305006367266;0,001155948676316378;0,0008083473810751457;13,2535
1199;sym8;5;soft;1,0;1,0;5,649899842394376;7,133951679448344;0,001155948676316378;0,0008213596582179889;16,7916
599;db8;5;soft;1,0;1,0;5,649899842394376;7,120919699300991;0,001155948676316378;0,0008238280337265071;17,5095
159;db2;4;soft;1,0;1,0;5,649899842394376;7,083506998985243;0,001155948676316378;0,0008309556332164599;15,8365
759;sym2;4;soft;1,0;1,0;5,649899842394376;7,083506998985243;0,001155948676316378;0,0008309556332164599;12,3864
193;db2;5;soft;0,75;0,8;5,649899842394376;6,995128378513911;0,001155948676316378;0,0008480387522897217;12,4238
197;db2;5;soft;1,0;0,6;5,649899842394376;6,995128378513911;0,001155948676316378;0,0008480387522897217;13,1194
797;sym2;5;soft;1,0;0,6;5,649899842394376;6,995128378513911;0,001155948676316378;0,0008480387522897217;13,4257
793;sym2;5;soft;0,75;0,8;5,649899842394376;6,995128378513911;0,001155948676316378;0,0008480387522897217;12,8939
398;db5;5;soft;1,0;0,8;5,649899842394376;6,992444252088106;0,001155948676316378;0,0008485630386606014;14,9405
998;sym5;5;soft;1,0;0,8;5,649899842394376;6,989873675367257;0,001155948676316378;0,0008490654493895515;14,73
158;db2;4;soft;1,0;0,8;5,649899842394376;6,936695618289399;0,001155948676316378;0,0008595259131495065;13,2342
758;sym2;4;soft;1,0;0,8;5,649899842394376;6,936695618289399;0,001155948676316378;0,0008595259131495065;12,3888
394;db5;5;soft;0,75;1,0;5,649899842394376;6,932699415135097;0,001155948676316378;0,0008603171783150174;14,9991
994;sym5;5;soft;0,75;1,0;5,649899842394376;6,930161753534101;0,001155948676316378;0,0008608200241772768;14,9453
1198;sym8;5;soft;1,0;0,8;5,649899842394376;6,918836886080435;0,001155948676316378;0,0008630676682728032;15,855
598;db8;5;soft;1,0;0,8;5,649899842394376;6,908877472077499;0,001155948676316378;0,0008650491605687421;17,5415
754;sym2;4;soft;0,75;1,0;5,649899842394376;6,893045747386317;0,001155948676316378;0,0008682083562967213;12,1616
154;db2;4;soft;0,75;1,0;5,649899842394376;6,893045747386317;0,001155948676316378;0,0008682083562967213;13,0487
