;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
1199;sym8;5;soft;1,0;1,0;13,647862498684681;14,609705482658406;0,0006026839935351772;0,0004829535457886734;15,8465
1198;sym8;5;soft;1,0;0,8;13,647862498684681;14,607296780041871;0,0006026839935351772;0,0004832214778422418;17,0248
1194;sym8;5;soft;0,75;1,0;13,647862498684681;14,5975221411678;0,0006026839935351772;0,0004843102862424113;16,5517
598;db8;5;soft;1,0;0,8;13,647862498684681;14,594039586555162;0,0006026839935351772;0,0004846988045218877;16,5603
599;db8;5;soft;1,0;1,0;13,647862498684681;14,593191786302043;0,0006026839935351772;0,0004847934333735458;17,58
998;sym5;5;soft;1,0;0,8;13,647862498684681;14,590313767411388;0,0006026839935351772;0,00048511480680235824;14,2464
398;db5;5;soft;1,0;0,8;13,647862498684681;14,589378009563525;0,0006026839935351772;0,00048521934391149705;16,1286
594;db8;5;soft;0,75;1,0;13,647862498684681;14,58502623428177;0,0006026839935351772;0,0004857057935253032;17,4789
994;sym5;5;soft;0,75;1,0;13,647862498684681;14,584073818973692;0,0006026839935351772;0,00048581232132608197;14,4043
394;db5;5;soft;0,75;1,0;13,647862498684681;14,583120441625198;0,0006026839935351772;0,000485918980130939;16,1345
999;sym5;5;soft;1,0;1,0;13,647862498684681;14,578126565920101;0,0006026839935351772;0,0004864780511734703;15,8449
399;db5;5;soft;1,0;1,0;13,647862498684681;14,576679028307211;0,0006026839935351772;0,0004866402251536184;16,162
1193;sym8;5;soft;0,75;0,8;13,647862498684681;14,542505019207908;0,0006026839935351772;0,0004904846329094186;16,4534
1197;sym8;5;soft;1,0;0,6;13,647862498684681;14,542505019207908;0,0006026839935351772;0,0004904846329094186;16,3951
997;sym5;5;soft;1,0;0,6;13,647862498684681;14,538531239816365;0,0006026839935351772;0,0004909336300252175;14,4167
993;sym5;5;soft;0,75;0,8;13,647862498684681;14,538531239816365;0,0006026839935351772;0,0004909336300252175;15,7488
393;db5;5;soft;0,75;0,8;13,647862498684681;14,53742307172017;0,0006026839935351772;0,0004910589151541691;15,7476
397;db5;5;soft;1,0;0,6;13,647862498684681;14,53742307172017;0,0006026839935351772;0,0004910589151541691;16,3451
593;db8;5;soft;0,75;0,8;13,647862498684681;14,532174115583729;0,0006026839935351772;0,0004916527760191771;17,6071
597;db8;5;soft;1,0;0,6;13,647862498684681;14,532174115583729;0,0006026839935351772;0,0004916527760191771;17,2337
193;db2;5;soft;0,75;0,8;13,647862498684681;14,527047293905795;0,0006026839935351772;0,0004922335120375504;13,671
793;sym2;5;soft;0,75;0,8;13,647862498684681;14,527047293905795;0,0006026839935351772;0,0004922335120375504;13,4188
197;db2;5;soft;1,0;0,6;13,647862498684681;14,527047293905795;0,0006026839935351772;0,0004922335120375504;14,0441
797;sym2;5;soft;1,0;0,6;13,647862498684681;14,527047293905795;0,0006026839935351772;0,0004922335120375504;14,8575
189;db2;5;soft;0,5;1,0;13,647862498684681;14,50736840423258;0,0006026839935351772;0,0004944689971063177;14,0721
789;sym2;5;soft;0,5;1,0;13,647862498684681;14,50736840423258;0,0006026839935351772;0,0004944689971063177;13,3573
194;db2;5;soft;0,75;1,0;13,647862498684681;14,503623420215263;0,0006026839935351772;0,0004948955687542725;13,5038
794;sym2;5;soft;0,75;1,0;13,647862498684681;14,503623420215263;0,0006026839935351772;0,0004948955687542725;12,8586
192;db2;5;soft;0,75;0,6;13,647862498684681;14,484832794764408;0,0006026839935351772;0,0004970414731029962;13,7243
792;sym2;5;soft;0,75;0,6;13,647862498684681;14,484832794764408;0,0006026839935351772;0,0004970414731029962;13,6064
798;sym2;5;soft;1,0;0,8;13,647862498684681;14,484173302291353;0,0006026839935351772;0,0004971169564475209;12,8753
198;db2;5;soft;1,0;0,8;13,647862498684681;14,484173302291353;0,0006026839935351772;0,0004971169564475209;14,1014
989;sym5;5;soft;0,5;1,0;13,647862498684681;14,48210766479287;0,0006026839935351772;0,0004973534567282596;14,6608
1189;sym8;5;soft;0,5;1,0;13,647862498684681;14,48110617994093;0,0006026839935351772;0,0004974681598636307;16,5146
389;db5;5;soft;0,5;1,0;13,647862498684681;14,481037280669653;0,0006026839935351772;0,0004974760520812407;15,939
589;db8;5;soft;0,5;1,0;13,647862498684681;14,472261266667665;0,0006026839935351772;0,0004984823441504078;17,2088
188;db2;5;soft;0,5;0,8;13,647862498684681;14,452762802906392;0,0006026839935351772;0,0005007254055041043;14,2285
788;sym2;5;soft;0,5;0,8;13,647862498684681;14,452762802906392;0,0006026839935351772;0,0005007254055041043;13,3961
196;db2;5;soft;1,0;0,4;13,647862498684681;14,452762802906392;0,0006026839935351772;0,0005007254055041043;13,4111
