;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
199;db2;5;soft;1,0;1,0;5,002654605955563;6,392166262347395;0,0014275316549251633;0,0010366557995575324;13,7846
799;sym2;5;soft;1,0;1,0;5,002654605955563;6,392166262347395;0,0014275316549251633;0,0010366557995575324;13,4202
198;db2;5;soft;1,0;0,8;5,002654605955563;6,297480767650072;0,0014275316549251633;0,001059505294187693;14,3602
798;sym2;5;soft;1,0;0,8;5,002654605955563;6,297480767650072;0,0014275316549251633;0,001059505294187693;13,79
194;db2;5;soft;0,75;1,0;5,002654605955563;6,263856153366326;0,0014275316549251633;0,001067740196400943;13,9263
794;sym2;5;soft;0,75;1,0;5,002654605955563;6,263856153366326;0,0014275316549251633;0,001067740196400943;13,5317
399;db5;5;soft;1,0;1,0;5,002654605955563;6,244482340854049;0,0014275316549251633;0,0010725140096406298;14,6832
999;sym5;5;soft;1,0;1,0;5,002654605955563;6,23839562803915;0,0014275316549251633;0,001074018210543242;17,6434
1199;sym8;5;soft;1,0;1,0;5,002654605955563;6,185252927012584;0,0014275316549251633;0,0010872412350377998;16,2804
599;db8;5;soft;1,0;1,0;5,002654605955563;6,169935407954121;0,0014275316549251633;0,0010910826934365711;18,0211
197;db2;5;soft;1,0;0,6;5,002654605955563;6,135621858517183;0,0014275316549251633;0,0010997374689419909;14,1539
793;sym2;5;soft;0,75;0,8;5,002654605955563;6,135621858517183;0,0014275316549251633;0,0010997374689419909;14,7788
797;sym2;5;soft;1,0;0,6;5,002654605955563;6,135621858517183;0,0014275316549251633;0,0010997374689419909;13,455
193;db2;5;soft;0,75;0,8;5,002654605955563;6,135621858517183;0,0014275316549251633;0,0010997374689419909;14,8668
398;db5;5;soft;1,0;0,8;5,002654605955563;6,103223965663439;0,0014275316549251633;0,0011079720664633594;17,5334
998;sym5;5;soft;1,0;0,8;5,002654605955563;6,098942868963462;0,0014275316549251633;0,0011090647983345357;14,5422
759;sym2;4;soft;1,0;1,0;5,002654605955563;6,069295331880774;0,0014275316549251633;0,00111666183899506;13,0059
159;db2;4;soft;1,0;1,0;5,002654605955563;6,069295331880774;0,0014275316549251633;0,00111666183899506;13,1665
394;db5;5;soft;0,75;1,0;5,002654605955563;6,061637801237843;0,0014275316549251633;0,0011186324869166128;15,6369
994;sym5;5;soft;0,75;1,0;5,002654605955563;6,057763525687605;0,0014275316549251633;0,0011196308473260918;15,507
1198;sym8;5;soft;1,0;0,8;5,002654605955563;6,040387436768448;0,0014275316549251633;0,001124119455215987;16,0324
598;db8;5;soft;1,0;0,8;5,002654605955563;6,028099686005696;0,0014275316549251633;0,0011273044965967225;19,6215
789;sym2;5;soft;0,5;1,0;5,002654605955563;6,024471887358757;0,0014275316549251633;0,0011282465629764678;13,0341
189;db2;5;soft;0,5;1,0;5,002654605955563;6,024471887358757;0,0014275316549251633;0,0011282465629764678;13,9288
158;db2;4;soft;1,0;0,8;5,002654605955563;6,017564338956539;0,0014275316549251633;0,0011300424915816013;13,0971
758;sym2;4;soft;1,0;0,8;5,002654605955563;6,017564338956539;0,0014275316549251633;0,0011300424915816013;12,494
1194;sym8;5;soft;0,75;1,0;5,002654605955563;5,998665656504322;0,0014275316549251633;0,00113497067958621;18,114
754;sym2;4;soft;0,75;1,0;5,002654605955563;5,996855608366076;0,0014275316549251633;0,001135443810103849;13,3942
154;db2;4;soft;0,75;1,0;5,002654605955563;5,996855608366076;0,0014275316549251633;0,001135443810103849;13,3084
359;db5;4;soft;1,0;1,0;5,002654605955563;5,994571085532286;0,0014275316549251633;0,0011360412456657893;15,9531
959;sym5;4;soft;1,0;1,0;5,002654605955563;5,994518882674804;0,0014275316549251633;0,0011360549011364734;15,6638
594;db8;5;soft;0,75;1,0;5,002654605955563;5,987090952294579;0,0014275316549251633;0,0011379996086063329;16,4215
792;sym2;5;soft;0,75;0,6;5,002654605955563;5,960198988463333;0,0014275316549251633;0,00114506808174386;14,722
192;db2;5;soft;0,75;0,6;5,002654605955563;5,960198988463333;0,0014275316549251633;0,00114506808174386;14,2374
1159;sym8;4;soft;1,0;1,0;5,002654605955563;5,950396661360266;0,0014275316549251633;0,001147655498564321;16,6408
559;db8;4;soft;1,0;1,0;5,002654605955563;5,948254601296526;0,0014275316549251633;0,0011482216935022735;16,6827
397;db5;5;soft;1,0;0,6;5,002654605955563;5,9198346470809255;0,0014275316549251633;0,0011557602220370123;15,1092
393;db5;5;soft;0,75;0,8;5,002654605955563;5,9198346470809255;0,0014275316549251633;0,0011557602220370123;15,3291
993;sym5;5;soft;0,75;0,8;5,002654605955563;5,917252377970257;0,0014275316549251633;0,0011564476291978888;14,8823
997;sym5;5;soft;1,0;0,6;5,002654605955563;5,917252377970257;0,0014275316549251633;0,0011564476291978888;14,7777
153;db2;4;soft;0,75;0,8;5,002654605955563;5,912307659428862;0,0014275316549251633;0,0011577650681332064;13,7391
757;sym2;4;soft;1,0;0,6;5,002654605955563;5,912307659428862;0,0014275316549251633;0,0011577650681332064;14,0891
753;sym2;4;soft;0,75;0,8;5,002654605955563;5,912307659428862;0,0014275316549251633;0,0011577650681332064;13,38
157;db2;4;soft;1,0;0,6;5,002654605955563;5,912307659428862;0,0014275316549251633;0,0011577650681332064;13,3184
958;sym5;4;soft;1,0;0,8;5,002654605955563;5,895153314419105;0,0014275316549251633;0,001162347207251393;15,5683
358;db5;4;soft;1,0;0,8;5,002654605955563;5,894858043029146;0,0014275316549251633;0,0011624262364717045;15,7739
