;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
399;db5;5;soft;1,0;1,0;4,766007673972467;5,537190295518883;0,0015074761176966907;0,0012622116326994727;18,4056
999;sym5;5;soft;1,0;1,0;4,766007673972467;5,528296935480995;0,0015074761176966907;0,0012647990023853103;17,3217
1199;sym8;5;soft;1,0;1,0;4,766007673972467;5,523979733578528;0,0015074761176966907;0,001266056929390955;17,4913
199;db2;5;soft;1,0;1,0;4,766007673972467;5,522931643945427;0,0015074761176966907;0,0012663625057515067;15,4131
799;sym2;5;soft;1,0;1,0;4,766007673972467;5,522931643945427;0,0015074761176966907;0,0012663625057515067;14,388
599;db8;5;soft;1,0;1,0;4,766007673972467;5,517681831999674;0,0015074761176966907;0,001267894227913348;18,254
198;db2;5;soft;1,0;0,8;4,766007673972467;5,515507355120398;0,0015074761176966907;0,001268529211114704;15,8322
798;sym2;5;soft;1,0;0,8;4,766007673972467;5,515507355120398;0,0015074761176966907;0,001268529211114704;13,7101
794;sym2;5;soft;0,75;1,0;4,766007673972467;5,506885474895917;0,0015074761176966907;0,001271050074508336;14,6107
194;db2;5;soft;0,75;1,0;4,766007673972467;5,506885474895917;0,0015074761176966907;0,001271050074508336;13,628
398;db5;5;soft;1,0;0,8;4,766007673972467;5,491299346497691;0,0015074761176966907;0,001275619863406367;19,962
998;sym5;5;soft;1,0;0,8;4,766007673972467;5,483609083862802;0,0015074761176966907;0,0012778806663176511;15,6637
1198;sym8;5;soft;1,0;0,8;4,766007673972467;5,475756323361395;0,0015074761176966907;0,0012801933755690698;17,9057
394;db5;5;soft;0,75;1,0;4,766007673972467;5,474305542848583;0,0015074761176966907;0,001280621101439465;17,9973
598;db8;5;soft;1,0;0,8;4,766007673972467;5,471001087690134;0,0015074761176966907;0,0012815958698318961;16,908
994;sym5;5;soft;0,75;1,0;4,766007673972467;5,467065801675432;0,0015074761176966907;0,0012827576925628819;15,1854
197;db2;5;soft;1,0;0,6;4,766007673972467;5,461319422390247;0,0015074761176966907;0,0012844561002818711;14,213
797;sym2;5;soft;1,0;0,6;4,766007673972467;5,461319422390247;0,0015074761176966907;0,0012844561002818711;15,3218
793;sym2;5;soft;0,75;0,8;4,766007673972467;5,461319422390247;0,0015074761176966907;0,0012844561002818711;14,8359
193;db2;5;soft;0,75;0,8;4,766007673972467;5,461319422390247;0,0015074761176966907;0,0012844561002818711;14,6104
1194;sym8;5;soft;0,75;1,0;4,766007673972467;5,458387433034794;0,0015074761176966907;0,0012853235492832028;16,9628
594;db8;5;soft;0,75;1,0;4,766007673972467;5,454056778902398;0,0015074761176966907;0,0012866058745634897;18,0022
789;sym2;5;soft;0,5;1,0;4,766007673972467;5,412000601627845;0,0015074761176966907;0,001299125620596654;14,5403
189;db2;5;soft;0,5;1,0;4,766007673972467;5,412000601627845;0,0015074761176966907;0,001299125620596654;15,5799
397;db5;5;soft;1,0;0,6;4,766007673972467;5,408018845825836;0,0015074761176966907;0,0013003172482169854;18,8573
393;db5;5;soft;0,75;0,8;4,766007673972467;5,408018845825836;0,0015074761176966907;0,0013003172482169854;17,711
993;sym5;5;soft;0,75;0,8;4,766007673972467;5,402345435365021;0,0015074761176966907;0,0013020170290139505;17,0962
997;sym5;5;soft;1,0;0,6;4,766007673972467;5,402345435365021;0,0015074761176966907;0,0013020170290139505;15,8692
1193;sym8;5;soft;0,75;0,8;4,766007673972467;5,391760883464144;0,0015074761176966907;0,0013051941530119317;17,5502
1197;sym8;5;soft;1,0;0,6;4,766007673972467;5,391760883464144;0,0015074761176966907;0,0013051941530119317;17,94
593;db8;5;soft;0,75;0,8;4,766007673972467;5,388609558094728;0,0015074761176966907;0,0013061415710079018;19,1278
597;db8;5;soft;1,0;0,6;4,766007673972467;5,388609558094728;0,0015074761176966907;0,0013061415710079018;17,7802
792;sym2;5;soft;0,75;0,6;4,766007673972467;5,3807837614374705;0,0015074761176966907;0,0013084973028298311;15,0705
192;db2;5;soft;0,75;0,6;4,766007673972467;5,3807837614374705;0,0015074761176966907;0,0013084973028298311;14,9979
959;sym5;4;soft;1,0;1,0;4,766007673972467;5,362496830113187;0,0015074761176966907;0,0013140186368584788;15,783
359;db5;4;soft;1,0;1,0;4,766007673972467;5,361857522890517;0,0015074761176966907;0,0013142120824292457;17,1925
1159;sym8;4;soft;1,0;1,0;4,766007673972467;5,356500386588664;0,0015074761176966907;0,0013158341977454256;17,4809
559;db8;4;soft;1,0;1,0;4,766007673972467;5,354627656062235;0,0015074761176966907;0,0013164017237781082;23,1267
389;db5;5;soft;0,5;1,0;4,766007673972467;5,349485841362224;0,0015074761176966907;0,0013179611960911037;17,9152
989;sym5;5;soft;0,5;1,0;4,766007673972467;5,344916200638231;0,0015074761176966907;0,0013193486829249498;17,4677
188;db2;5;soft;0,5;0,8;4,766007673972467;5,34462921292706;0,0015074761176966907;0,0013194358701643068;17,3317
796;sym2;5;soft;1,0;0,4;4,766007673972467;5,34462921292706;0,0015074761176966907;0,0013194358701643068;13,9562
196;db2;5;soft;1,0;0,4;4,766007673972467;5,34462921292706;0,0015074761176966907;0,0013194358701643068;14,977
