;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
799;sym2;5;soft;1,0;1,0;4,496780957175872;5,644378689445517;0,0015074761176966907;0,001157419159647543;14,9534
199;db2;5;soft;1,0;1,0;4,496780957175872;5,644378689445517;0,0015074761176966907;0,001157419159647543;17,2794
399;db5;5;soft;1,0;1,0;4,496780957175872;5,577530286586111;0,0015074761176966907;0,0011753724518348463;16,4889
999;sym5;5;soft;1,0;1,0;4,496780957175872;5,575903361727271;0,0015074761176966907;0,0011758128444625375;18,3401
1199;sym8;5;soft;1,0;1,0;4,496780957175872;5,560453066827897;0,0015074761176966907;0,0011800033209263348;17,8423
599;db8;5;soft;1,0;1,0;4,496780957175872;5,552504141529923;0,0015074761176966907;0,0011821650678059087;16,2367
798;sym2;5;soft;1,0;0,8;4,496780957175872;5,535110142129838;0,0015074761176966907;0,001186909270674611;15,5145
198;db2;5;soft;1,0;0,8;4,496780957175872;5,535110142129838;0,0015074761176966907;0,001186909270674611;15,0344
794;sym2;5;soft;0,75;1,0;4,496780957175872;5,501773147524922;0,0015074761176966907;0,0011960551943222526;14,2302
194;db2;5;soft;0,75;1,0;4,496780957175872;5,501773147524922;0,0015074761176966907;0,0011960551943222526;15,0241
398;db5;5;soft;1,0;0,8;4,496780957175872;5,454477456339667;0,0015074761176966907;0,0012091516994560758;16,4185
998;sym5;5;soft;1,0;0,8;4,496780957175872;5,4525712834148194;0,0015074761176966907;0,0012096825277801448;17,5574
1198;sym8;5;soft;1,0;0,8;4,496780957175872;5,436622794819563;0,0015074761176966907;0,0012141329815824671;17,4304
598;db8;5;soft;1,0;0,8;4,496780957175872;5,430204320667293;0,0015074761176966907;0,0012159286853973754;16,3309
394;db5;5;soft;0,75;1,0;4,496780957175872;5,419040351109416;0,0015074761176966907;0,0012190583713061643;15,5801
994;sym5;5;soft;0,75;1,0;4,496780957175872;5,416985854335678;0,0015074761176966907;0,0012196352020274694;17,0599
1194;sym8;5;soft;0,75;1,0;4,496780957175872;5,401172278055874;0,0015074761176966907;0,0012240842455687622;18,5259
594;db8;5;soft;0,75;1,0;4,496780957175872;5,395177670835658;0,0015074761176966907;0,001225775027096582;16,278
759;sym2;4;soft;1,0;1,0;4,496780957175872;5,38627324632926;0,0015074761176966907;0,0012282908357776857;13,3545
159;db2;4;soft;1,0;1,0;4,496780957175872;5,38627324632926;0,0015074761176966907;0,0012282908357776857;14,042
197;db2;5;soft;1,0;0,6;4,496780957175872;5,385353910944545;0,0015074761176966907;0,0012285508737938167;13,9938
193;db2;5;soft;0,75;0,8;4,496780957175872;5,385353910944545;0,0015074761176966907;0,0012285508737938167;15,0212
797;sym2;5;soft;1,0;0,6;4,496780957175872;5,385353910944545;0,0015074761176966907;0,0012285508737938167;18,4532
793;sym2;5;soft;0,75;0,8;4,496780957175872;5,385353910944545;0,0015074761176966907;0,0012285508737938167;14,5538
959;sym5;4;soft;1,0;1,0;4,496780957175872;5,34238106362605;0,0015074761176966907;0,001240767558858109;16,6226
359;db5;4;soft;1,0;1,0;4,496780957175872;5,3394266580917105;0,0015074761176966907;0,0012416119116727107;16,358
1159;sym8;4;soft;1,0;1,0;4,496780957175872;5,332318157494974;0,0015074761176966907;0,0012436458371521439;16,1706
559;db8;4;soft;1,0;1,0;4,496780957175872;5,322513264984714;0,0015074761176966907;0,001246456738365426;16,8313
