;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
799;sym2;5;soft;1,0;1,0;5,003367775829396;6,536326101359812;0,000888324301885829;0,0006241309376239467;12,8423
199;db2;5;soft;1,0;1,0;5,003367775829396;6,536326101359812;0,000888324301885829;0,0006241309376239467;13,5622
798;sym2;5;soft;1,0;0,8;5,003367775829396;6,42420215908831;0,000888324301885829;0,0006404542396776378;13,0476
198;db2;5;soft;1,0;0,8;5,003367775829396;6,42420215908831;0,000888324301885829;0,0006404542396776378;13,3452
399;db5;5;soft;1,0;1,0;5,003367775829396;6,389144173087509;0,000888324301885829;0,0006456451656490875;15,3011
794;sym2;5;soft;0,75;1,0;5,003367775829396;6,385642844970519;0,000888324301885829;0,0006461659015039913;13,6983
194;db2;5;soft;0,75;1,0;5,003367775829396;6,385642844970519;0,000888324301885829;0,0006461659015039913;14,657
999;sym5;5;soft;1,0;1,0;5,003367775829396;6,382596952744919;0,000888324301885829;0,0006466192441352178;16,41
1199;sym8;5;soft;1,0;1,0;5,003367775829396;6,329311142197085;0,000888324301885829;0,0006546018172540547;16,4802
599;db8;5;soft;1,0;1,0;5,003367775829396;6,315735510216967;0,000888324301885829;0,0006566512416892995;16,9548
797;sym2;5;soft;1,0;0,6;5,003367775829396;6,24074184713573;0,000888324301885829;0,000668088715292591;13,1076
193;db2;5;soft;0,75;0,8;5,003367775829396;6,24074184713573;0,000888324301885829;0,000668088715292591;13,5251
793;sym2;5;soft;0,75;0,8;5,003367775829396;6,24074184713573;0,000888324301885829;0,000668088715292591;13,3188
197;db2;5;soft;1,0;0,6;5,003367775829396;6,24074184713573;0,000888324301885829;0,000668088715292591;15,3851
398;db5;5;soft;1,0;0,8;5,003367775829396;6,2302407757202545;0,000888324301885829;0,0006697060823615175;15,8679
998;sym5;5;soft;1,0;0,8;5,003367775829396;6,224585188400269;0,000888324301885829;0,0006705787732750953;15,6006
394;db5;5;soft;0,75;1,0;5,003367775829396;6,183635246101815;0,000888324301885829;0,0006769316128843153;15,6622
994;sym5;5;soft;0,75;1,0;5,003367775829396;6,178279639868471;0,000888324301885829;0,0006777669022092596;17,6955
1198;sym8;5;soft;1,0;0,8;5,003367775829396;6,167339236551626;0,000888324301885829;0,0006794764313691606;16,3554
598;db8;5;soft;1,0;0,8;5,003367775829396;6,155822782336777;0,000888324301885829;0,0006812806319619995;19,0645
759;sym2;4;soft;1,0;1,0;5,003367775829396;6,137375486324707;0,000888324301885829;0,0006841806262285294;12,6178
159;db2;4;soft;1,0;1,0;5,003367775829396;6,137375486324707;0,000888324301885829;0,0006841806262285294;13,2652
1194;sym8;5;soft;0,75;1,0;5,003367775829396;6,120774174710661;0,000888324301885829;0,0006868009755562525;16,1475
189;db2;5;soft;0,5;1,0;5,003367775829396;6,116759596837362;0,000888324301885829;0,0006874361415277235;14,2646
789;sym2;5;soft;0,5;1,0;5,003367775829396;6,116759596837362;0,000888324301885829;0,0006874361415277235;13,3331
594;db8;5;soft;0,75;1,0;5,003367775829396;6,109782834466614;0,000888324301885829;0,0006885413669495998;16,8595
758;sym2;4;soft;1,0;0,8;5,003367775829396;6,083188723324177;0,000888324301885829;0,0006927705997290711;12,676
158;db2;4;soft;1,0;0,8;5,003367775829396;6,083188723324177;0,000888324301885829;0,0006927705997290711;13,9388
754;sym2;4;soft;0,75;1,0;5,003367775829396;6,0614434143865665;0,000888324301885829;0,000696248030064938;13,9137
154;db2;4;soft;0,75;1,0;5,003367775829396;6,0614434143865665;0,000888324301885829;0,000696248030064938;13,6863
359;db5;4;soft;1,0;1,0;5,003367775829396;6,059093991683177;0,000888324301885829;0,0006966247844412768;16,2305
959;sym5;4;soft;1,0;1,0;5,003367775829396;6,057924475455884;0,000888324301885829;0,0006968124045311318;15,0909
792;sym2;5;soft;0,75;0,6;5,003367775829396;6,0454729552041115;0,000888324301885829;0,0006988130800872265;14,2917
192;db2;5;soft;0,75;0,6;5,003367775829396;6,0454729552041115;0,000888324301885829;0,0006988130800872265;13,7257
397;db5;5;soft;1,0;0,6;5,003367775829396;6,025577816763885;0,000888324301885829;0,000702021704002982;15,209
393;db5;5;soft;0,75;0,8;5,003367775829396;6,025577816763885;0,000888324301885829;0,000702021704002982;15,9096
993;sym5;5;soft;0,75;0,8;5,003367775829396;6,020876340110007;0,000888324301885829;0,0007027820926198426;15,3888
997;sym5;5;soft;1,0;0,6;5,003367775829396;6,020876340110007;0,000888324301885829;0,0007027820926198426;16,456
1159;sym8;4;soft;1,0;1,0;5,003367775829396;6,014906124268592;0,000888324301885829;0,0007037488665994412;17,1065
559;db8;4;soft;1,0;1,0;5,003367775829396;6,012051934037807;0,000888324301885829;0,0007042115234847491;16,6384
157;db2;4;soft;1,0;0,6;5,003367775829396;5,972191745302595;0,000888324301885829;0,0007107046325923875;13,3272
753;sym2;4;soft;0,75;0,8;5,003367775829396;5,972191745302595;0,000888324301885829;0,0007107046325923875;13,1854
757;sym2;4;soft;1,0;0,6;5,003367775829396;5,972191745302595;0,000888324301885829;0,0007107046325923875;13,0083
153;db2;4;soft;0,75;0,8;5,003367775829396;5,972191745302595;0,000888324301885829;0,0007107046325923875;13,2004
188;db2;5;soft;0,5;0,8;5,003367775829396;5,967415624098173;0,000888324301885829;0,0007114866546491006;13,6393
788;sym2;5;soft;0,5;0,8;5,003367775829396;5,967415624098173;0,000888324301885829;0,0007114866546491006;12,7237
196;db2;5;soft;1,0;0,4;5,003367775829396;5,967415624098173;0,000888324301885829;0,0007114866546491006;13,6206
796;sym2;5;soft;1,0;0,4;5,003367775829396;5,967415624098173;0,000888324301885829;0,0007114866546491006;13,7239
1197;sym8;5;soft;1,0;0,6;5,003367775829396;5,964732645375257;0,000888324301885829;0,0007119263317338967;17,0716
1193;sym8;5;soft;0,75;0,8;5,003367775829396;5,964732645375257;0,000888324301885829;0,0007119263317338967;16,3761
358;db5;4;soft;1,0;0,8;5,003367775829396;5,957696881425413;0,000888324301885829;0,0007130806188312515;16,627
958;sym5;4;soft;1,0;0,8;5,003367775829396;5,956387507838933;0,000888324301885829;0,0007132956410641782;20,4917
597;db8;5;soft;1,0;0,6;5,003367775829396;5,955478347630844;0,000888324301885829;0,0007134449793413902;18,4856
593;db8;5;soft;0,75;0,8;5,003367775829396;5,955478347630844;0,000888324301885829;0,0007134449793413902;17,046
354;db5;4;soft;0,75;1,0;5,003367775829396;5,926544382138346;0,000888324301885829;0,0007182140267027232;15,2439
954;sym5;4;soft;0,75;1,0;5,003367775829396;5,925235010974589;0,000888324301885829;0,0007184305964619852;14,7689
